rank,title,authors,year,journal,doi,landing_url,pdf_url,pdf_host,publisher,type,language,relevance_score,relation_type,matched_queries,download_status,download_error,filename,text_path
1,Measuring Online Political Dialogue: Does Polarization Trigger More Deliberation?,Ignacio-Jesús Serrano-Contreras; Javier García Marín; Óscar G. Luengo,2020,Media and Communication,https://doi.org/10.17645/mac.v8i4.3149,https://doi.org/10.17645/mac.v8i4.3149,https://www.cogitatiopress.com/mediaandcommunication/article/download/3149/3149,www.cogitatiopress.com,Cogitatio,article,en,51,direct,direct_yt_climate; direct_yt_comments; public_sphere; social_media_comments,failed,Non-PDF response from https://doi.org/10.17645/mac.v8i4.3149,"Ignacio-Jesús Serrano-Contreras, et al (2020). Measuring Online Political Dialogue - Does Polarization Trigger More Deliberation. Media and Communication.pdf",
2,"Why Should Scientists be on YouTube? It’s all About Bamboo, Oil and Ice Cream",Eric B. Brennan,2021,Frontiers in Communication,https://doi.org/10.3389/fcomm.2021.586297,https://doi.org/10.3389/fcomm.2021.586297,https://www.frontiersin.org/articles/10.3389/fcomm.2021.586297/pdf,www.frontiersin.org,Frontiers Media,article,en,48,direct,direct_yt_climate; yt_comm; yt_misinfo,downloaded,,"Eric B. Brennan (2021). Why Should Scientists be on YouTube It’s all About Bamboo, Oil and Ice Cream. Frontiers in Communication.pdf","data\text\Eric B. Brennan (2021). Why Should Scientists be on YouTube It’s all About Bamboo, Oil and Ice Cream. Frontiers in Communication.txt"
3,Rezo and German Climate Change Policy: The Influence of Networked Expertise on YouTube and Beyond,Joachim Allgaier,2020,Media and Communication,https://doi.org/10.17645/mac.v8i2.2862,https://doi.org/10.17645/mac.v8i2.2862,https://www.cogitatiopress.com/mediaandcommunication/article/download/2862/2862,www.cogitatiopress.com,Cogitatio,article,en,47,direct,direct_yt_climate,failed,Non-PDF response from https://doi.org/10.17645/mac.v8i2.2862,Joachim Allgaier (2020). Rezo and German Climate Change Policy - The Influence of Networked Expertise on YouTube and Beyond. Media and Communication.pdf,
4,Promoting Green Brand of University in Social Media: Text Mining and Sentiment Analysis,Yana Us; Tetyana Pimonenko; Oleksii Lyulyov; Yang Chen; Tatjana Tambovceva,2022,Virtual Economics,https://doi.org/10.34021/ve.2022.05.01(2),https://doi.org/10.34021/ve.2022.05.01(2),https://www.virtual-economics.eu/index.php/VE/article/download/142/98,www.virtual-economics.eu,,article,en,47,direct,direct_yt_climate,downloaded,,"Yana Us, et al (2022). Promoting Green Brand of University in Social Media - Text Mining and Sentiment Analysis. Virtual Economics.pdf","data\text\Yana Us, et al (2022). Promoting Green Brand of University in Social Media - Text Mining and Sentiment Analysis. Virtual Economics.txt"
5,"Social media influence on young people and children: Analysis on Instagram, Twitter and YouTube",Raquel Lozano-Blasco; Marta Mira-Aladrén; Mercedes Gil‐Lamata,2022,Comunicar,https://doi.org/10.3916/c74-2023-10,https://doi.org/10.3916/c74-2023-10,https://www.revistacomunicar.com/verpdf.php?numero=74&articulo=74-2023-10,www.revistacomunicar.com,Grupo Comunicar Ediciones,article,en,47,direct,content_analysis; direct_yt_climate,failed,Non-PDF response from https://doi.org/10.3916/c74-2023-10,"Raquel Lozano-Blasco, et al (2022). Social media influence on young people and children - Analysis on Instagram, Twitter and YouTube. Comunicar.pdf",
6,CLIMATE ANXIETY AS A LENS INTO YOUNG PEOPLE'S POLITICAL EXPRESSION ON YOUTUBE,Ioana Literat; Neta Kligler-Vilenchik,2023,AoIR Selected Papers of Internet Research,https://doi.org/10.5210/spir.v2023i0.13449,https://doi.org/10.5210/spir.v2023i0.13449,https://spir.aoir.org/ojs/index.php/spir/article/download/13449/11445,spir.aoir.org,,article,en,47,direct,content_analysis; direct_yt_comments; yt_comm,downloaded,,"Ioana Literat, & Neta Kligler-Vilenchik (2023). CLIMATE ANXIETY AS A LENS INTO YOUNG PEOPLE'S POLITICAL EXPRESSION ON YOUTUBE. AoIR Selected Papers of Internet Research.pdf","data\text\Ioana Literat, & Neta Kligler-Vilenchik (2023). CLIMATE ANXIETY AS A LENS INTO YOUNG PEOPLE'S POLITICAL EXPRESSION ON YOUTUBE. AoIR Selected Papers of Internet Research.txt"
7,DECOLONIZING NEWSMAKING ON YOUTUBE: THE CASE OF CLIMATE JOURNALISM DURING THE COP26 SUMMIT,Christian Ritter; Rahul Goel; Rajesh Sharma,2023,AoIR Selected Papers of Internet Research,https://doi.org/10.5210/spir.v2022i0.13078,http://dx.doi.org/10.5210/spir.v2022i0.13078,https://spir.aoir.org/ojs/index.php/spir/article/download/13078/10977,spir.aoir.org,,article,en,47,direct,direct_yt_climate; direct_yt_comments; yt_comm,downloaded,,"Christian Ritter, et al (2023). DECOLONIZING NEWSMAKING ON YOUTUBE - THE CASE OF CLIMATE JOURNALISM DURING THE COP26 SUMMIT. AoIR Selected Papers of Internet Research.pdf","data\text\Christian Ritter, et al (2023). DECOLONIZING NEWSMAKING ON YOUTUBE - THE CASE OF CLIMATE JOURNALISM DURING THE COP26 SUMMIT. AoIR Selected Papers of Internet Research.txt"
8,"Fuelling the climate and science ‘denial machine’ on social media: A case study of the Great Barrier Reef’s 2021 ‘in danger’ recommendation on Twitter, YouTube and Facebook",Carly Lubicz-Zaorski; Maxine Newlands; Theresa Petray,2023,Public Understanding of Science,https://doi.org/10.1177/09636625231202117,https://doi.org/10.1177/09636625231202117,https://journals.sagepub.com/doi/pdf/10.1177/09636625231202117,journals.sagepub.com,SAGE Publishing,article,en,47,direct,env_comm_video; yt_comm; yt_denial,failed,HTTP 403 from https://doi.org/10.1177/09636625231202117,"Carly Lubicz-Zaorski, et al (2023). Fuelling the climate and science ‘denial machine’ on social media - A case study of the Great Barrier Reef’s 2021 ‘in da. Public Understanding of Science.pdf",
9,Distributional range shift of a marine fish relates to a geographical gradient of emotions among recreational fishers,Lucía Espasandín; Marta Coll; Valerio Sbragaglia,2024,Ecology and Society,https://doi.org/10.5751/es-14793-290121,https://doi.org/10.5751/es-14793-290121,https://www.ecologyandsociety.org/vol29/iss1/art21/ES-2023-14793.pdf,www.ecologyandsociety.org,Resilience Alliance,article,en,47,direct,direct_yt_comments,downloaded,,"Lucía Espasandín, et al (2024). Distributional range shift of a marine fish relates to a geographical gradient of emotions among recreational fishers. Ecology and Society.pdf","data\text\Lucía Espasandín, et al (2024). Distributional range shift of a marine fish relates to a geographical gradient of emotions among recreational fishers. Ecology and Society.txt"
10,Climate Communication in the Hybrid Media System: Media and Stakeholder Logics on Social Media,Simon M. Luebke; Nadezhda Ozornina; Mario Haim; Jörg Haßler,2025,Media and Communication,https://doi.org/10.17645/mac.9892,https://doi.org/10.17645/mac.9892,https://www.cogitatiopress.com/mediaandcommunication/article/download/9552/4403,www.cogitatiopress.com,Cogitatio,article,en,47,direct,content_analysis; direct_yt_climate; yt_comm,downloaded,,"Simon M. Luebke, et al (2025). Climate Communication in the Hybrid Media System - Media and Stakeholder Logics on Social Media. Media and Communication.pdf","data\text\Simon M. Luebke, et al (2025). Climate Communication in the Hybrid Media System - Media and Stakeholder Logics on Social Media. Media and Communication.txt"
11,Denial and misinformation in defense of the tar sands: The case of a Canadian think tank,Timothy J. Haney,2025,Sociological Forum,https://doi.org/10.1111/socf.13042,https://doi.org/10.1111/socf.13042,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/socf.13042,onlinelibrary.wiley.com,Wiley,article,en,47,direct,yt_denial; yt_misinfo; yt_skepticism,failed,HTTP 403 from https://doi.org/10.1111/socf.13042,Timothy J. Haney (2025). Denial and misinformation in defense of the tar sands - The case of a Canadian think tank. Sociological Forum.pdf,
12,Framing Climate Change on YouTube: North-South Divides in Narratives and Public Engagement,"Damle, Sanika; Krishnan, Radhika",2025,ArXiv.org,,http://arxiv.org/abs/2512.08183,https://arxiv.org/pdf/2512.08183,arxiv.org,,article,,47,direct,direct_yt_climate,downloaded,,"Damle, Sanika, & Krishnan, Radhika (2025). Framing Climate Change on YouTube - North-South Divides in Narratives and Public Engagement. ArXiv.org.pdf","data\text\Damle, Sanika, & Krishnan, Radhika (2025). Framing Climate Change on YouTube - North-South Divides in Narratives and Public Engagement. ArXiv.org.txt"
13,Framing of Climate Change in Pakistani YouTube Content: A Content Analysis of Climate-Related Videos Across Selected Communication Channels,Nasir Iqbal Malik; Muazzam Arif; Iqra Tariq; Azam Khan; Mian Muhammad Ramazan,2025,Regional lens.,https://doi.org/10.55737/rl.2025.44138,https://doi.org/10.55737/rl.2025.44138,https://regionallens.com/index.php/rl/article/download/138/172,regionallens.com,,article,,47,direct,direct_yt_climate; yt_comm,downloaded,,"Nasir Iqbal Malik, et al (2025). Framing of Climate Change in Pakistani YouTube Content - A Content Analysis of Climate-Related Videos Across Selected Co. Regional lens.pdf","data\text\Nasir Iqbal Malik, et al (2025). Framing of Climate Change in Pakistani YouTube Content - A Content Analysis of Climate-Related Videos Across Selected Co. Regional lens.txt"
14,Visual digital intermediaries and global climate communication: Is climate change still a distant problem on YouTube?,Alexandra Segerberg; Matteo Magnani,2025,PLoS ONE,https://doi.org/10.1371/journal.pone.0318338,https://doi.org/10.1371/journal.pone.0318338,https://uu.diva-portal.org/smash/get/diva2:1955255/FULLTEXT01,uu.diva-portal.org,Public Library of Science,article,en,47,direct,direct_yt_climate; yt_comm,failed,Non-PDF response from https://doi.org/10.1371/journal.pone.0318338,"Alexandra Segerberg, & Matteo Magnani (2025). Visual digital intermediaries and global climate communication - Is climate change still a distant problem on YouTube. PLoS ONE.pdf",
15,Analyzing YouTube users’ comments on climate change issues presented through immersive mixed reality using sentiment analysis and network analysis tools,Naglaa Elgammal; Hadeer Ahmed Mohamed; Sara Abdel Latif Abdel Halim; Fathia Sabry Abd ElRahman; Hala Elalfy Fawzy,2026,Frontiers in Communication,https://doi.org/10.3389/fcomm.2025.1657059,https://doi.org/10.3389/fcomm.2025.1657059,https://public-pages-files-2025.frontiersin.org/journals/communication/articles/10.3389/fcomm.2025.1657059/pdf,public-pages-files-2025.frontiersin.org,Frontiers Media,article,en,47,direct,direct_yt_climate; direct_yt_comments,downloaded,,"Naglaa Elgammal, et al (2026). Analyzing YouTube users’ comments on climate change issues presented through immersive mixed reality using sentiment ana. Frontiers in Communication.pdf","data\text\Naglaa Elgammal, et al (2026). Analyzing YouTube users’ comments on climate change issues presented through immersive mixed reality using sentiment ana. Frontiers in Communication.txt"
16,Frame Sequencing the Climate Change Online: An Analysis of Evolving Narratives on YouTube Video Data,Francesco Amato; Alberto Maria De Mascellis,2026,,https://doi.org/10.21203/rs.3.rs-8831546/v1,https://doi.org/10.21203/rs.3.rs-8831546/v1,https://www.researchsquare.com/article/rs-8831546/latest.pdf,www.researchsquare.com,,preprint,,47,direct,direct_yt_climate,downloaded,,"Francesco Amato, & Alberto Maria De Mascellis (2026). Frame Sequencing the Climate Change Online - An Analysis of Evolving Narratives on YouTube Video Data. Unknown Journal.pdf","data\text\Francesco Amato, & Alberto Maria De Mascellis (2026). Frame Sequencing the Climate Change Online - An Analysis of Evolving Narratives on YouTube Video Data. Unknown Journal.txt"
17,Uncovering gender stereotypes in controversial science discourse: evidence from computational text and visual analyses across digital platforms,Kaiping Chen; Zening Duan; Sang Jung Kim,2023,Journal of Computer-Mediated Communication,https://doi.org/10.1093/jcmc/zmad052,https://doi.org/10.1093/jcmc/zmad052,https://academic.oup.com/jcmc/article-pdf/29/1/zmad052/56546519/zmad052.pdf,academic.oup.com,Wiley,article,en,46,direct,yt_misinfo,failed,HTTP 403 from https://doi.org/10.1093/jcmc/zmad052,"Kaiping Chen, et al (2023). Uncovering gender stereotypes in controversial science discourse - evidence from computational text and visual analyses. Journal of Computer-Mediated Communication.pdf",
18,Climate change on YouTube: A potential platform for youth learning,Beatriz Duran-Becerra; Grace Clarke Hillyer; Alison Cosgrove; Corey H. Basch,2020,Health Promotion Perspectives,https://doi.org/10.34172/hpp.2020.42,https://doi.org/10.34172/hpp.2020.42,https://hpp.tbzmed.ac.ir/PDF/hpp-10-282.pdf,hpp.tbzmed.ac.ir,Tabriz University of Medical Sciences,article,en,44,direct,direct_yt_climate,downloaded,,"Beatriz Duran-Becerra, et al (2020). Climate change on YouTube - A potential platform for youth learning. Health Promotion Perspectives.pdf","data\text\Beatriz Duran-Becerra, et al (2020). Climate change on YouTube - A potential platform for youth learning. Health Promotion Perspectives.txt"
